"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp","status","size","initialValue","currentValue","cashPnl","percentPnl","percentRealizedPnl","redeemable","mergeable","eventId","negativeRisk","main_category","sub_category","value","total_position_pnl"
"0x37c1874a60d348903594a96703e0507c518fc53a","65518682212022781901729149980017915467817457835152287376501549020779362175695","0x22210ba50e974556bb194cd0f0176ae82dc2ac1b2db42e2ad2c20801ff9f5c8b","0.356387","1559130.536765","1003476.682158","1.0","Will Brentford FC win on 2026-03-16?","epl-bre-wol-2026-03-16-bre","https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg","epl-bre-wol-2026-03-16","No","1","Yes","47494701246623683904467099439211712078496707997982781452643608690648347494691","2026-03-16T00:00:00Z","1773722321.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","1003476.682158"
"0x37c1874a60d348903594a96703e0507c518fc53a","72080006957145462448905190711181188000765010681409810398310581722671859437420","0xdc745743c9498006f9b3501faa7d21fe7c6897e6b8aef6f09fbdc1a74bf385da","0.478611","1686749.175205","879452.46571","1.0","Will RC Celta de Vigo win on 2026-03-12?","uel-cel4-lyo1-2026-03-12-cel4","https://polymarket-upload.s3.us-east-2.amazonaws.com/uel.png","uel-cel4-lyo1-2026-03-12","No","1","Yes","111492144868070487338611646905528246791453890937685971560884740129450137826917","2026-03-12T00:00:00Z","1773404305.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","879452.46571"
"0x37c1874a60d348903594a96703e0507c518fc53a","24551048901349696269629708855848193522308186679314030269387036293959890642143","0xbb24627f098a238015e8b110238b35f89e2ca33f0b783248cf524cf8a33aedf8","0.48870099999999994","578452.038837","295761.949005","1.0","Spread: Trail Blazers (-15.5)","nba-uta-por-2026-03-13-spread-home-15pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-uta-por-2026-03-13","Jazz","1","Trail Blazers","77804900004018957338386353647052014198852303757310721985646726989412440095700","2026-03-14T00:00:00Z","1773508507.0","closed","","0.0","0.0","0.0","","","","","","","SPORTS","NBA","0.0","295761.949005"
"0x37c1874a60d348903594a96703e0507c518fc53a","79178351942199421612926428485501953047810868966943708574107325767345293689025","0xd99e53656b0aed6bfa9420e6593dc48b4ace02e666feb96d3be3a0090be7579f","0.37008","439091.596011","276592.578159","1.0","Final Stage: Japan vs. Venezuela","wbc-jap-ven-2026-03-14","https://polymarket-upload.s3.us-east-2.amazonaws.com/wbc-cze-aus-2026-03-05-Jzmo6IW5LwMM.jpg","wbc-jap-ven-2026-03-14","Venezuela","1","Japan","63313449497562723095366093667438891868428136245688025820182452232218132896824","2026-03-22T00:00:00Z","1773579835.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","276592.578159"
"0x37c1874a60d348903594a96703e0507c518fc53a","82299005586956065182947260012302181607744529215035397599984334065955538884689","0x8153ebddf4d3bdcf444de208a7b6d50673fdc062d4f529df70d9089e7fb29ec9","0.470611","452590.357625","239596.356832","1.0","Will AFC Bournemouth win on 2026-03-14?","epl-bur-bou-2026-03-14-bou","https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg","epl-bur-bou-2026-03-14","No","1","Yes","81758482510199965664815113301671182134960066946008164413357847393613528084481","2026-03-14T00:00:00Z","1773528555.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","239596.356832"
"0x37c1874a60d348903594a96703e0507c518fc53a","65368761240916720444319031962810548204235225636814045340414499419871823529527","0x63ef0f626e3afcbd22c80e4328732f17af44b849eb18a61676b78054f196159f","0.401814","313542.194155","187556.550952","1.0","Will Genoa CFC win on 2026-03-15?","sea-ver-gen-2026-03-15-gen","https://polymarket-upload.s3.us-east-2.amazonaws.com/Serie-A-Logo.png","sea-ver-gen-2026-03-15","Yes","0","No","60060419162120881756009894579538859070284224327426668116802571938470190939203","2026-03-15T00:00:00Z","1773610673.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","187556.550952"
"0x37c1874a60d348903594a96703e0507c518fc53a","34220741429594258097073024559653293456941151791855242282623448356444769966538","0x0d7df475442dc327a13f0f5e8e46bebb22b1814b9707aa08b1188265616cc37c","0.448965","321583.866396","177203.965819","1.0","Will Chelsea FC win on 2026-03-14?","epl-che-new-2026-03-14-che","https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg","epl-che-new-2026-03-14","No","1","Yes","86033427677252416086751450370475670590824726105322635674860437641344282902660","2026-03-14T00:00:00Z","1773579835.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","177203.965819"
"0x37c1874a60d348903594a96703e0507c518fc53a","110423533006192757186758646844750307831061700346210485468035055247519874406326","0x13182a3f43e0e50172d6ec2578f960e73f24a5f2c28f3c9e752369d7d5331cb1","0.3578","245548.58851899998","157691.303546","1.0","Will Arsenal FC win on 2026-03-11?","ucl-lev-ars-2026-03-11-ars","https://polymarket-upload.s3.us-east-2.amazonaws.com/champions-league-pic-QIUFsL8vaDdq.png","ucl-lev-ars-2026-03-11","No","1","Yes","6513270381960802253012683151666357505132664786332053561142044868772233342467","2026-03-11T00:00:00Z","1773327515.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","157691.303546"
"0x37c1874a60d348903594a96703e0507c518fc53a","38503835558546558759475930119099866598736585766084029192688606142864672995849","0xd311f31f24fc009f37157404c55e1d0b93c7654945a2f4e6f10eb4a072d1e9d8","0.614042","362078.88472","139747.242188","1.0","Ducks vs. Senators","nhl-ana-ott-2026-03-14","https://polymarket-upload.s3.us-east-2.amazonaws.com/nhl.png","nhl-ana-ott-2026-03-14","Senators","1","Ducks","6958653053622274863409071810798052516790934763548300688006370839090239146929","2026-03-14T00:00:00Z","1773579835.0","closed","","0.0","0.0","0.0","","","","","","","SPORTS","NBA","0.0","139747.242188"
"0x37c1874a60d348903594a96703e0507c518fc53a","47422320954954503236776571563977343658457112111940494054589819022401467451619","0x0a5c1c51d135778ce54835e1440dea1557067bbcf3442b157a944f895c260d27","0.537865","290125.93153","134077.347367","1.0","UFC Fight Night: Brad Tavares vs. Eryk Anders (Middleweight, Prelims)","ufc-bra4-ery-2026-03-14","https://polymarket-upload.s3.us-east-2.amazonaws.com/ufc-logo-37bbbd28e6.png","ufc-bra4-ery-2026-03-14","Eryk Anders","1","Brad Tavares","26122395996983977598009455002771756839899883989977716017182710773912860539458","2026-03-15T00:00:00Z","1773579835.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","134077.347367"
