"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp","status","size","initialValue","currentValue","cashPnl","percentPnl","percentRealizedPnl","redeemable","mergeable","eventId","negativeRisk","main_category","sub_category","value","total_position_pnl"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","98556688304168255493248865551276489388002426203533979153355358476484509006410","0xdd26deb0ae41a989823efc36dda909702e0bd711ef76f7c87d0c03ddffa11663","0.585796","103014.007359","42668.813879","1.0","Will FC Barcelona win on 2026-03-08?","lal-bil-bar-2026-03-08-bar","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-lal.png","lal-bil-bar-2026-03-08","Yes","0","No","2876699391105610217378675509836757229537759737684816035623352123783248705742","2026-03-08T00:00:00Z","1772965547.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","42668.813879"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","4797292837689535088141725437361917033735783071444026074748176885051828806364","0x266b5447e7ad2d4d9eae9df523905307ab04314ed3e25ad6de359022f6c9471c","0.506199","80224.540577","39614.958361","1.0","Counter-Strike: Heroic vs NRG (BO3) - ESL Pro League Stage 1","cs2-hero-nrg-2026-03-01","https://polymarket-upload.s3.us-east-2.amazonaws.com/counter-strike-image-16c415c538.png","cs2-hero-nrg-2026-03-01","Heroic","0","NRG","102899580434524236174076294421148700937280529440456666701235025736508583373180","2026-03-01T00:00:00Z","1772459637.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","39614.958361"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","108382510987083819214880473000069688346319547841486716310761738056684129176096","0xefab7efad1b23fb4b43b422c3206d576d2250a132a4c0d1f6433edff31b6c594","0.3","49999.99999999999","35000.0","1.0","Will Liverpool FC win on 2026-03-03?","epl-wol-liv-2026-03-03-liv","https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg","epl-wol-liv-2026-03-03","No","1","Yes","32480537000557660742313729505508416242252734571677416203499577770764790270235","2026-03-03T00:00:00Z","1772826257.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","35000.0"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","57104287395561121600078889745876932265748780096788978554897782147409230931223","0x5eabfab331e97c2effec223d679fcbabf693e87fccd05916f084973ff4988f84","0.49000000000000005","68000.0","34680.0","1.0","Will Bologna FC 1909 win on 2026-03-02?","sea-pis-bol-2026-03-02-bol","https://polymarket-upload.s3.us-east-2.amazonaws.com/Serie-A-Logo.png","sea-pis-bol-2026-03-02","Yes","0","No","67598488327398774319760830709836010632051958380957357320340782476764119023139","2026-03-02T00:00:00Z","1772826257.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","34680.0"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","19142327053998389470086705003890707625472105728508265412585954595363891062660","0x19da64a3f1b53b26b99bee3bb130d763e92e9f5f78436cb914b40f476665842d","0.48","59570.254589","30976.532386","1.0","Spurs vs. Pistons","nba-sas-det-2026-02-23","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-sas-det-2026-02-23","Spurs","0","Pistons","48248423741315746221490871940483624927210637856299229637517646297035568109388","2026-02-24T00:00:00Z","1772218755.0","closed","","0.0","0.0","0.0","","","","","","","SPORTS","NBA","0.0","30976.532386"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","51799062546282162203077396663106016100753203949804889728316123179788355757964","0xbce2673bbdb121b720944ccc0094fa428cc12b2b871a8352a9b5ec22ad27e454","0.390996","99999.971959","30400.384365","1.0","Duke Blue Devils vs. Michigan Wolverines","cbb-duke-mich-2026-02-21","https://polymarket-upload.s3.us-east-2.amazonaws.com/ncaa-c14995df96.png","cbb-duke-mich-2026-02-21","Duke Blue Devils","0","Michigan Wolverines","114280571754593843314228694163931103259723211075094812453776052961792089182402","2026-02-21T00:00:00Z","1771850896.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","30400.384365"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","26517710076123278586694392874113269482790172561540762352146099180237977090480","0xe7b8c3720f877805df156ac3e128a128f2a0b43bac55f1009f1ac0a0e3e4ea03","0.44","49999.991565","27999.995276","1.0","AC Milan vs. FC Internazionale Milano: Both Teams to Score","sea-mil-int-2026-03-08-btts","https://polymarket-upload.s3.us-east-2.amazonaws.com/Serie-A-Logo.png","sea-mil-int-2026-03-08-more-markets","No","1","Yes","94086265435287205215841911336803341871380276880189693341790632300258004684804","2026-03-08T00:00:00Z","1773101443.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","27999.995276"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","74832864219258417153336611869763143726463839211689680846229387598716093230854","0xa606d31ce856f4b9c388465b44c2acd09ecde9fbd6a93e0c18fca759cc09ee8a","0.456545","46825.802969","25447.716715000002","1.0","Will Club Atlético de Madrid win on 2026-02-14?","lal-ray-mad-2026-02-14-mad","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-lal.png","lal-ray-mad-2026-02-14","No","1","Yes","14131660659890666476692496448221937210083742500571931626005680534827100425296","2026-02-14T00:00:00Z","1771203983.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","25447.716715000002"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","79346765173581962801797556444109983340166896723229233094394088942304205985166","0xe656e28a7c74c33d85e6a9d62cecf797e88b442c86d8041a8628db6c93d9fd27","0.5","49999.99999999999","24999.999999999996","1.0","Golden Knights vs. Capitals","nhl-las-wsh-2026-02-27","https://polymarket-upload.s3.us-east-2.amazonaws.com/nhl.png","nhl-las-wsh-2026-02-27","Capitals","1","Golden Knights","22959873638960380612351821137587524403518576014247961100595294994877707375285","2026-02-28T00:00:00Z","1772459637.0","closed","","0.0","0.0","0.0","","","","","","","SPORTS","NBA","0.0","24999.999999999996"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","87584244458247810584328476166821182249995301676801052920934424543908158823201","0xa10fcfce475e48c50e187c7fd2c2a2068ce168c1fc0b92fc7bc37542872ea237","0.39","39999.971959","24399.982858999996","1.0","Will Manchester City FC win on 2026-03-07?","efa-new-mnc-2026-03-07-mnc","https://polymarket-upload.s3.us-east-2.amazonaws.com/fa-cup-48b7f4b3c1.png","efa-new-mnc-2026-03-07","Yes","0","No","38261569396921467974814965055982158572878992647311621620217634191341155899671","2026-03-07T00:00:00Z","1772965547.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","24399.982858999996"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","40639449871278630568960216400358194927095899913604388755624160949269833979443","0x017f7caf0f73e7b8fe56e1de3c1083945cf830c298e7d587b19fb3f1dab5c34b","0.463668","44717.969367","23983.67791","1.0","Will Arsenal FC win on 2026-02-12?","epl-bre-ars-2026-02-12-ars","https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg","epl-bre-ars-2026-02-12","No","1","Yes","107683332630704778571811485336992949412595151924810273497552505022869283628038","2026-02-12T00:00:00Z","1771203983.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","23983.67791"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","2245997443196709624699359908338974483288289375921665879052779197230538770482","0xe6ce652ac792fa05cb0820d43d2bad5cab91daadc066ba7f1fd33d2e5ebfe780","0.391907","38387.57","23343.212604","1.0","T20 World Cup: Australia vs Sri Lanka (Game 1)","crint-aus-lka-2026-02-16","https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png","crint-aus-lka-2026-02-16","Sri Lanka","1","Australia","47449739148190399512870134769787038746965019935189388816611464627492987142384","2026-02-23T00:00:00Z","1771371993.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","23343.212604"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","7867708003383167531255352928019586710511120359487264823133600191526213008486","0xa4de4cb0173cb8117e1a1f5225b025b112910921ed623f960b56dc45e4d96153","0.33000000000000007","34563.85","23157.7795","1.0","Will Fenerbahçe SK win on 2026-03-13?","tur-kar-fen-2026-03-13-fen","https://polymarket-upload.s3.us-east-2.amazonaws.com/tur.png","tur-kar-fen-2026-03-13","No","1","Yes","46709670121582610004912857317063745965467029251368454355229888096157919924763","2026-03-13T00:00:00Z","1773442543.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","23157.7795"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","81209593572409051303071827006008944731897993768585229785325837174287181496960","0x5bbf7af1680399b03704db4224936c052fb4b3f5803e24cd8ab5335265782215","0.54","49999.99999999999","23000.0","1.0","Capitals vs. Bruins","nhl-wsh-bos-2026-03-07","https://polymarket-upload.s3.us-east-2.amazonaws.com/nhl.png","nhl-wsh-bos-2026-03-07","Bruins","1","Capitals","16178652664489269497394420376111199427018163583517694860657581503250348183369","2026-03-07T00:00:00Z","1772924659.0","closed","","0.0","0.0","0.0","","","","","","","SPORTS","NBA","0.0","23000.0"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","1861308738048255777584807975627445837028566216451452177374759864905470193120","0x01b69c753e407b2b5f6680783e8ab11505142e727df92b9ee07777f8d91921a9","0.44","40000.0","22400.0","1.0","Spread: South Florida Bulls (-6.5)","cbb-flatl-sfl-2026-01-25-spread-home-6pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/ncaa-c14995df96.png","cbb-flatl-sfl-2026-01-25","South Florida Bulls","0","Florida Atlantic Owls","83115595621664910258333005837059781177944211457678384174660274697602358956327","2026-01-25T00:00:00Z","1769516969.0","closed","","0.0","0.0","0.0","","","","","","","SPORTS","NBA","0.0","22400.0"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","74247847021975109211301287278005800661495975119512218596472003706374321136822","0x4b45b7e172a6f4a26096495f9a608ccbbcb6692bc37910da449b32f0114ddb17","0.36","34999.938125","22399.960384","1.0","Will Nottingham Forest FC win on 2026-02-26?","uel-not-fen1-2026-02-26-not","https://polymarket-upload.s3.us-east-2.amazonaws.com/uel.png","uel-not-fen1-2026-02-26","No","1","Yes","266331342055107111386556725373341478624117674826896613696954251734769518422","2026-02-26T00:00:00Z","1772218755.0","closed","","0.0","0.0","0.0","","","","","","","OTHER","Other","0.0","22399.960384"
