segment,positions,total_bought_usdc,realized_pnl_usdc,roi_pct,wins,losses,win_rate_pct
Bundesliga,29,474181.5996099999,132876.46303599997,28.02,18,11,62.1
Crypto,20,3756198.4292320004,62617.034902,1.67,19,1,95.0
EFL Championship,6,418166.9599999999,189948.594984,45.42,5,1,83.3
EPL,12,1875556.863569,344064.56286400004,18.34,9,3,75.0
Elections,7,13804171.149999999,1.78373,0.0,1,6,14.3
Eredivisie,4,46770.69091299999,22090.594655999997,47.23,3,1,75.0
La Liga,13,898477.8270480001,51057.93109299999,5.68,9,4,69.2
NBA,86,2583020.898457,-45833.93477099997,-1.77,77,9,89.5
NCAAB,1,434030.741934,269099.059999,62.0,1,0,100.0
NFL,89,6197981.987501999,329028.962939,5.31,54,35,60.7
NHL,11,279157.82223,10811.153293999982,3.87,7,4,63.6
Other,374,68021308.91135499,246731.07521499996,0.36,250,124,66.8
Sports,1,1504396.13,-20126.826217,-1.34,0,1,0.0
Super Bowl,3,339738.562541,75632.46367200001,22.26,3,0,100.0
UCL,13,2770353.4539300003,607591.2245569997,21.93,11,2,84.6
