"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp","status","size","initialValue","currentValue","cashPnl","percentPnl","percentRealizedPnl","redeemable","mergeable","eventId","negativeRisk","total_position_pnl"
"0x37c1874a60d348903594a96703e0507c518fc53a","65518682212022781901729149980017915467817457835152287376501549020779362175695","0x22210ba50e974556bb194cd0f0176ae82dc2ac1b2db42e2ad2c20801ff9f5c8b","0.356387","1559130.536765","1003476.682158","1.0","Will Brentford FC win on 2026-03-16?","epl-bre-wol-2026-03-16-bre","https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg","epl-bre-wol-2026-03-16","No","1","Yes","47494701246623683904467099439211712078496707997982781452643608690648347494691","2026-03-16T00:00:00Z","1773722321.0","closed","","0.0","0.0","0.0","","","","","","","1003476.682158"
"0x37c1874a60d348903594a96703e0507c518fc53a","72080006957145462448905190711181188000765010681409810398310581722671859437420","0xdc745743c9498006f9b3501faa7d21fe7c6897e6b8aef6f09fbdc1a74bf385da","0.478611","1686749.175205","879452.46571","1.0","Will RC Celta de Vigo win on 2026-03-12?","uel-cel4-lyo1-2026-03-12-cel4","https://polymarket-upload.s3.us-east-2.amazonaws.com/uel.png","uel-cel4-lyo1-2026-03-12","No","1","Yes","111492144868070487338611646905528246791453890937685971560884740129450137826917","2026-03-12T00:00:00Z","1773404305.0","closed","","0.0","0.0","0.0","","","","","","","879452.46571"
"0x37c1874a60d348903594a96703e0507c518fc53a","56692934503900284113023849137721224347468957861441471765180283830063056801955","0xbb325dcb02101279c2a5bb27dda4d09d5dc3cecc56f162de344d3b3fea2be3ad","0.569201","1745306.07","751876.109649","1.0","Will Bologna FC 1909 win on 2026-03-22?","sea-bol-laz-2026-03-22-bol","https://polymarket-upload.s3.us-east-2.amazonaws.com/Serie-A-Logo.png","sea-bol-laz-2026-03-22","No","1","Yes","20296207834303401278774686433256475883757805007590721178751566856176365000717","2026-03-22T00:00:00Z","1774208703.0","closed","","0.0","0.0","0.0","","","","","","","751876.109649"
"0x37c1874a60d348903594a96703e0507c518fc53a","77530118520273064256136296921086343314452380218097735574854503040708128459605","0x659bca08f21a30cc5bdb0f5278f73d6a9d9f5c94977c24e195e245e4407ea1ca","0.468506","1305156.031809","693682.59997","1.0","Will Real Madrid CF win on 2026-03-22?","lal-rea-mad-2026-03-22-rea","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-lal.png","lal-rea-mad-2026-03-22","Yes","0","No","54937002596171897254957087647496237075615729995891528694194723032167451405823","2026-03-22T00:00:00Z","1774266881.0","closed","","0.0","0.0","0.0","","","","","","","693682.59997"
"0x37c1874a60d348903594a96703e0507c518fc53a","10603987549297691656898557994266884102417059557032870395944842304112258435330","0xabb2aa7a058811f3b64c8534ccd45bee3830e166c6c6c82707a407fbf6f18ba7","0.388228","1015786.526527","621429.754906","1.0","Will Olympique Lyonnais win on 2026-04-05?","fl1-ang-lyo-2026-04-05-lyo","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-fl1.png","fl1-ang-lyo-2026-04-05","No","1","Yes","12108418731597923158599135391488720346648868243772280377791032065118478746353","2026-04-05T00:00:00Z","1775418245.0","closed","","0.0","0.0","0.0","","","","","","","621429.754906"
"0x37c1874a60d348903594a96703e0507c518fc53a","83849047691689736017408406972772936315731432118359752565689065732491930911350","0x3939e72dd3c5313a6b8d6747493a3d4790edd0c04489f456389a251ec5b2f881","0.491626","810708.035807","412142.886995","1.0","Spread: Spurs (-8.5)","nba-phi-sas-2026-04-06-spread-home-8pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-phi-sas-2026-04-06","Spurs","0","76ers","100064242260971986863012601873724274725229539413457680843167018217208959510482","2026-04-07T00:00:00Z","1775588501.0","closed","","0.0","0.0","0.0","","","","","","","412142.886995"
"0x37c1874a60d348903594a96703e0507c518fc53a","24551048901349696269629708855848193522308186679314030269387036293959890642143","0xbb24627f098a238015e8b110238b35f89e2ca33f0b783248cf524cf8a33aedf8","0.48870099999999994","578452.038837","295761.949005","1.0","Spread: Trail Blazers (-15.5)","nba-uta-por-2026-03-13-spread-home-15pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-uta-por-2026-03-13","Jazz","1","Trail Blazers","77804900004018957338386353647052014198852303757310721985646726989412440095700","2026-03-14T00:00:00Z","1773508507.0","closed","","0.0","0.0","0.0","","","","","","","295761.949005"
"0x37c1874a60d348903594a96703e0507c518fc53a","79178351942199421612926428485501953047810868966943708574107325767345293689025","0xd99e53656b0aed6bfa9420e6593dc48b4ace02e666feb96d3be3a0090be7579f","0.37008","439091.596011","276592.578159","1.0","Final Stage: Japan vs. Venezuela","wbc-jap-ven-2026-03-14","https://polymarket-upload.s3.us-east-2.amazonaws.com/wbc-cze-aus-2026-03-05-Jzmo6IW5LwMM.jpg","wbc-jap-ven-2026-03-14","Venezuela","1","Japan","63313449497562723095366093667438891868428136245688025820182452232218132896824","2026-03-22T00:00:00Z","1773579835.0","closed","","0.0","0.0","0.0","","","","","","","276592.578159"
"0x37c1874a60d348903594a96703e0507c518fc53a","29268374767026351069520760239255462946032945278421340669104844117958540894496","0x5cdb92c1b360589fb6693ac2705874f8d9a729bea4ebe362ece3abf4ad8acc65","0.48103","510186.92116","264771.706474","1.0","Timberwolves vs. Pacers: O/U 233.5","nba-min-ind-2026-04-07-total-233pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-min-ind-2026-04-07","Under","1","Over","83063458731319256938809517089118283342233077145640657745573609784972229658396","2026-04-07T00:00:00Z","1775652493.0","closed","","0.0","0.0","0.0","","","","","","","264771.706474"
"0x37c1874a60d348903594a96703e0507c518fc53a","111553014365498920870142275863305963831720352188493144133508127625158322370857","0x94e74d6e460e5d16268f79fcd5915ff550df3c5a1d7f660c137d4ff31ba3eeb9","0.499998","504781.999766","252392.00944600004","1.0","Spread: Magic (-15.5)","nba-sac-orl-2026-03-26-spread-home-15pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-sac-orl-2026-03-26","Kings","1","Magic","6977704042121520509410754578498445325342756006232483900982737862147680272761","2026-03-26T00:00:00Z","1774613569.0","closed","","0.0","0.0","0.0","","","","","","","252392.00944600004"
