"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp","status","size","initialValue","currentValue","cashPnl","percentPnl","percentRealizedPnl","redeemable","mergeable","eventId","negativeRisk","total_position_pnl"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","58858799465005258410985688048653459084062219365546748920923204823234728771125","0x7261b06fc5515452b81b4831e158fd45730cfb56b650518af48a0393a99bbfae","0.24","197248.938872","149909.193542","1.0","Rams vs. Falcons","nfl-la-atl-2025-12-29","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-la-atl-2025-12-29","Falcons","1","Rams","26866600765305490078342430550218784410180356858805681175079156575407694444255","2025-12-30T00:00:00Z","1767075591.0","closed","","0.0","0.0","0.0","","","","","","","149909.193542"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","74675802913423583250654237571773467036543918002834655980946427437021582054499","0x2360f94f33cc1e123e4dd6162325ff756b8b8c5d32151a23dad08b82e4c51bee","0.176697","162893.632872","111083.695623","1.0","Mavericks vs. Knicks","nba-dal-nyk-2026-01-19","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-dal-nyk-2026-01-19","Mavericks","0","Knicks","97333984437414415554232069421018511833385550051146881559066893071066545752889","2026-01-19T00:00:00Z","1768881116.0","closed","","0.0","0.0","0.0","","","","","","","111083.695623"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","3251193480339149518799760386941085664745837536225926679336271787273714710544","0x386c70eb5b79e8d6b05bc371033387f0b9a5d93180429dfc6f13fc25dd526adb","0.579318","255278.095875","107390.899928","1.0","Seahawks vs. 49ers","nfl-sea-sf-2026-01-04","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-sea-sf-2026-01-04","Seahawks","0","49ers","100645527814308590060521372250066757846332265057837350946883863116005106188331","2026-01-04T00:00:00Z","1767506071.0","closed","","0.0","0.0","0.0","","","","","","","107390.899928"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","101802931676350706383143173002562321017976063466207653283952126514669920533943","0x87e4ca5fc73fdc12353f7351166cafc678a83cf9265445b9a5c7ecec1fadbdef","0.471584","164952.753293","87163.674084","1.0","Spread: Lakers (-16.5)","nba-was-lal-2026-03-30-spread-home-16pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-was-lal-2026-03-30","Lakers","0","Wizards","38515483761733808728558695831890003763507686159390997897242775261045020244207","2026-03-31T00:00:00Z","1774976433.0","closed","","0.0","0.0","0.0","","","","","","","87163.674084"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","92423114161359316077701305727464176144249057386642691230919297553309470576929","0xe2867614ca6c032fe5eb49b43a06d7bfe2834bc1936b9ebe5a6e463fd56c4e54","0.558928","191430.898874","84434.809428","1.0","Cavaliers vs. Lakers","nba-cle-lal-2026-03-31","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-cle-lal-2026-03-31","Lakers","1","Cavaliers","70250105737405460697390589651584342889344925185909779610460131671245449995935","2026-04-01T00:00:00Z","1775055061.0","closed","","0.0","0.0","0.0","","","","","","","84434.809428"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","34858339292532772135546673029281496732736153144595470591713451428286940819015","0x1f2b0f9708a817126007ad267eaa626116a0187c4ae50ea99883e7d4ef7b7249","0.37479399999999996","130095.957092","81336.772949","1.0","Cowboys vs. Giants","nfl-dal-nyg-2026-01-04","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-dal-nyg-2026-01-04","Giants","1","Cowboys","111846985470052196531467951040868616266262812222693515253124115913434768089552","2026-01-04T00:00:00Z","1767591761.0","closed","","0.0","0.0","0.0","","","","","","","81336.772949"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","71024639177808530372627664170029316332458108553814747772617852406937418640923","0x98d1aaf1514d3e2fca35c3fc218e3697c80e7227fbb3b56137e6c8a5dc1882fe","0.59","224148.237983","76915.555772","1.0","Cavaliers vs. Hornets","nba-cle-cha-2026-01-21","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-cle-cha-2026-01-21","Cavaliers","0","Hornets","51931664514692745641542541492825182409428187141330993384887032182636800070578","2026-01-22T00:00:00Z","1769061392.0","closed","","0.0","0.0","0.0","","","","","","","76915.555772"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","20695978114089266183573992222377448593963150073342586647473461236073421860581","0xe5c7a0adf3c1359a8fc8bc60a2993dc4ae50fafc917030a964ed74d1f4555404","0.09999999999999999","83999.93773","75599.943957","1.0","Hornets vs. Thunder","nba-cha-okc-2026-01-05","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-cha-okc-2026-01-05","Hornets","0","Thunder","74477902858139791081331660389282504863850696768945686254787931791569660811129","2026-01-06T00:00:00Z","1767680345.0","closed","","0.0","0.0","0.0","","","","","","","75599.943957"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","2512828092906893250945666844719826696467466464821263359176001892224942518486","0xc8573c0ad6b68fad53be3155a6b7d9ec9feb73ead2e687d6608e21db31fac060","0.333647","113153.663935","75400.283424","1.0","Steelers vs. Browns","nfl-pit-cle-2025-12-28","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-pit-cle-2025-12-28","Browns","1","Steelers","35319136772664460062830087652426115398301876519615722854872192862172221900693","2025-12-28T00:00:00Z","1766963687.0","closed","","0.0","0.0","0.0","","","","","","","75400.283424"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","78323008020328440534445904698526900436573991706035782552200043416433638632347","0xc296b13aac16810c9daad88e6d0e82d1b69d3778aba5900134b190215cf8666d","0.34","111594.458136","73652.342369","1.0","Warriors vs. Suns","nba-gsw-phx-2026-02-05","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-gsw-phx-2026-02-05","Warriors","0","Suns","86922891867749820481201571899425107020583640132284146707793120383383493145737","2026-02-06T00:00:00Z","1770394857.0","closed","","0.0","0.0","0.0","","","","","","","73652.342369"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","105581980424313629798348762713769994455346835651004562258292008104265597988742","0x5f1321577302b02d8b52f9dde7a80e30a9ecc6d54ab1852ba24f500177dc5a43","0.36","213071.26999999996","71835.464953","1.0","Celtics vs. Pacers","nba-bos-ind-2026-01-12","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-bos-ind-2026-01-12","Pacers","1","Celtics","74656698830328454147225301644464339437786556308664098177811469863658604649857","2026-01-13T00:00:00Z","1768325553.0","closed","","0.0","0.0","0.0","","","","","","","71835.464953"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","53724885359565814757082941140107995442820606989565665748597275515443959778777","0x746f66fb1859ce9f795b0bbe0b4fede7666bfe4de95b2aa280296b25f763deee","0.53","200788.939526","71334.656403","1.0","Bills vs. Broncos","nfl-buf-den-2026-01-17","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-buf-den-2026-01-17","Broncos","1","Bills","59971444048982820090749128753331211858318529324980291176754797725178535217659","2026-01-17T00:00:00Z","1768710372.0","closed","","0.0","0.0","0.0","","","","","","","71334.656403"
"0x84dbb7103982e3617704a2ed7d5b39691952aeeb","66878089072077054873089982525372598445782573310717531782302194866811795351896","0x52ee0a7318ccd2f081fc3e774fec5460959bd2051c701c35b0db2538c317bd71","0.275178","96457.184848","69914.289635","1.0","Heat vs. Hornets","nba-mia-cha-2026-03-06","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-mia-cha-2026-03-06","Heat","0","Hornets","907138519471860895752261903075035686826701045160982128639835727702815650045","2026-03-07T00:00:00Z","1772905687.0","closed","","0.0","0.0","0.0","","","","","","","69914.289635"
