"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp","status","size","initialValue","currentValue","cashPnl","percentPnl","percentRealizedPnl","redeemable","mergeable","eventId","negativeRisk","total_position_pnl"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","77530118520273064256136296921086343314452380218097735574854503040708128459605","0x659bca08f21a30cc5bdb0f5278f73d6a9d9f5c94977c24e195e245e4407ea1ca","0.464345","137990.542115","73915.323836","1.0","Will Real Madrid CF win on 2026-03-22?","lal-rea-mad-2026-03-22-rea","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-lal.png","lal-rea-mad-2026-03-22","Yes","0","No","54937002596171897254957087647496237075615729995891528694194723032167451405823","2026-03-22T00:00:00Z","1774225473.0","closed","","0.0","0.0","0.0","","","","","","","73915.323836"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","84515215646041359434326735847264199438192665226784060463360814204808768288159","0x58488d58420e408dc70e7c545d52b206630a7b6fc3d8bc5e5ebe494598f9597e","0.556055","130244.600979","51513.228783","1.0","Will France win on 2026-03-29?","fif-col-fra-2026-03-29-fra","https://polymarket-upload.s3.us-east-2.amazonaws.com/fif.png","fif-col-fra-2026-03-29","Yes","0","No","101373130542888800467699395307621174754081636935555451783597554754136137623266","2026-03-29T00:00:00Z","1774875606.0","closed","","0.0","0.0","0.0","","","","","","","51513.228783"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","59344012017210333505891122728150449837640916888557408941223626599293123891486","0xcb330cfb85e593db969f47e9f0be7828c461a38761ae84af4188f8c8bedabd75","0.4699999999999999","85111.44","45109.06319999999","1.0","Will OGC Nice win on 2026-04-12?","fl1-ogc-hac-2026-04-12-ogc","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-fl1.png","fl1-ogc-hac-2026-04-12","No","1","Yes","81350874907085069607542080894328918258156493631752667390225017652839696159503","2026-04-12T00:00:00Z","1776026839.0","closed","","0.0","0.0","0.0","","","","","","","45109.06319999999"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","115441174756778497442573516192216092472503715286856402978812563445827005215235","0x7a00c50eb4e76f5bc25b38a83c029dfde5faa9268e4ade490c931a384f8d157a","0.682539","135360.712245","42825.695677","1.0","Will Cameron Young win the 2026 Masters tournament?","will-cameron-young-win-the-2026-masters-tournament","https://polymarket-upload.s3.us-east-2.amazonaws.com/will-cameron-young-win-the-2026-masters-tournament-sXasr_Yw-Hib.png","the-masters-winner-2026","No","1","Yes","64839620643543455663176545644417187741508741750332061546105736635983287442638","2026-04-13T00:00:00Z","1776096253.0","closed","","0.0","0.0","0.0","","","","","","","42825.695677"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","98556688304168255493248865551276489388002426203533979153355358476484509006410","0xdd26deb0ae41a989823efc36dda909702e0bd711ef76f7c87d0c03ddffa11663","0.585796","103014.007359","42668.813879","1.0","Will FC Barcelona win on 2026-03-08?","lal-bil-bar-2026-03-08-bar","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-lal.png","lal-bil-bar-2026-03-08","Yes","0","No","2876699391105610217378675509836757229537759737684816035623352123783248705742","2026-03-08T00:00:00Z","1772965547.0","closed","","0.0","0.0","0.0","","","","","","","42668.813879"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","25845698069276681239322469386443883416410519536634919674407031744557375519521","0x75f980e82c6233c7335782d96795af32adf66f06755d9facf39cb1fe4573234d","0.604529","106791.701313","42233.020909","1.0","Will FC Barcelona win on 2026-03-18?","ucl-fcb1-new-2026-03-18-fcb1","https://polymarket-upload.s3.us-east-2.amazonaws.com/champions-league-pic-QIUFsL8vaDdq.png","ucl-fcb1-new-2026-03-18","Yes","0","No","69055387269888828411001457624243989024790693969544659042246354718590314893370","2026-03-18T00:00:00Z","1773922857.0","closed","","0.0","0.0","0.0","","","","","","","42233.020909"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","22880068986224074718759375332421017535618483496059423176333002603553556591157","0xa0bc014d85cbee9b32d6c94f7cfe72100035b05c0ad975a8b04a453db14a8325","0.19","49999.99999999999","40500.0","1.0","LoL: G2 Esports vs BNK FEARX (BO5) - First Stand Group A","lol-g2-fox1-2026-03-20","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-of-legends-61a4f083a6.png","lol-g2-fox1-2026-03-20","G2 Esports","0","BNK FEARX","94829489824850894317991943137916401090562346698783302762331755533341749263439","2026-03-20T00:00:00Z","1774099313.0","closed","","0.0","0.0","0.0","","","","","","","40500.0"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","37818455803075839565095197354256714277042163593933512522815052224502030828207","0xd793740ea6d03bce7b178f40f96a07429fd68a0f428fa849aa7fa4f07a2bfd42","0.33000000000000007","59999.928035","40199.95176","1.0","Will Arsenal FC win on 2026-04-11?","epl-ars-bou-2026-04-11-ars","https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg","epl-ars-bou-2026-04-11","No","1","Yes","57915764020991905801314902275089680096756149673513078682267321834710648036326","2026-04-11T00:00:00Z","1775931813.0","closed","","0.0","0.0","0.0","","","","","","","40199.95176"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","4797292837689535088141725437361917033735783071444026074748176885051828806364","0x266b5447e7ad2d4d9eae9df523905307ab04314ed3e25ad6de359022f6c9471c","0.506199","80224.540577","39614.958361","1.0","Counter-Strike: Heroic vs NRG (BO3) - ESL Pro League Stage 1","cs2-hero-nrg-2026-03-01","https://polymarket-upload.s3.us-east-2.amazonaws.com/counter-strike-image-16c415c538.png","cs2-hero-nrg-2026-03-01","Heroic","0","NRG","102899580434524236174076294421148700937280529440456666701235025736508583373180","2026-03-01T00:00:00Z","1772459637.0","closed","","0.0","0.0","0.0","","","","","","","39614.958361"
"0x5c3a1a602848565bb16165fcd460b00c3d43020b","15123330915598717189497973542773823331791286107430062590249277305264487336217","0xe8e998f70289030f391412f08333a6d1f6f7a675f832c5f33ce1d6406d032172","0.488571","69999.949204","35800.004021","1.0","Counter-Strike: Aurora Gaming vs TheMongolz (BO3) - BLAST Open Rotterdam Playoffs","cs2-aur1-mglz-2026-03-27","https://polymarket-upload.s3.us-east-2.amazonaws.com/counter-strike-image-16c415c538.png","cs2-aur1-mglz-2026-03-27","Aurora Gaming","0","TheMongolz","74447381118788675658562421814899918275262782076499363712892161070516026923500","2026-03-27T00:00:00Z","1774712623.0","closed","","0.0","0.0","0.0","","","","","","","35800.004021"
