"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp","status","size","initialValue","currentValue","cashPnl","percentPnl","percentRealizedPnl","redeemable","mergeable","eventId","negativeRisk","value","main_category","sub_category","total_position_pnl"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","101332409402578985509542214130553909196942369261369350044116647140149881633025","0xdece3c9a32a0244f9dc4622feadd31f74dec86b02399454db743cc59a5e23eb2","0.27","1500000.0","1095000.0","1.0","Will Villarreal CF win on 2026-01-20?","ucl-vil1-aja-2026-01-20-vil1","https://polymarket-upload.s3.us-east-2.amazonaws.com/champions-league-pic-QIUFsL8vaDdq.png","ucl-vil1-aja-2026-01-20","No","1","Yes","69793281271905869668878115453558761265981444160479418938198158011630844239009","2026-01-20T00:00:00Z","1768957706.0","closed","","0.0","0.0","0.0","","","","","","","0.0","OTHER","Other","1095000.0"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","85229865481166262443616698813899475047082678584551624516576861283095641108073","0x605c9d91aacb70969836c696d4666c0552b9c123fd72d7f4a2adfd337739ad14","0.506604","2000000.296094","986792.146091","1.0","Spread: Seahawks (-4.5)","nfl-sea-ne-2026-02-08-spread-away-4pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-sea-ne-2026-02-08","Seahawks","0","Patriots","11240144609794675088588251385750462152427779062609952137535104957577820876903","2026-02-08T00:00:00Z","1770616967.0","closed","","0.0","0.0","0.0","","","","","","","0.0","SPORTS","NBA","986792.146091"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","75622030394035399036937070033090646111399878725123970869483987211900705097957","0x5738020f4942e54c0124f8b3576d028e383484d26d3f35afefecae5833531771","0.42","1000000.0","580000.0","1.0","Will Paris Saint-Germain FC win on 2026-01-20?","ucl-spo1-psg1-2026-01-20-psg1","https://polymarket-upload.s3.us-east-2.amazonaws.com/champions-league-pic-QIUFsL8vaDdq.png","ucl-spo1-psg1-2026-01-20","No","1","Yes","109492353993301407369933856988235247520998666489275481338542490814658767030555","2026-01-20T00:00:00Z","1768958662.0","closed","","0.0","0.0","0.0","","","","","","","0.0","OTHER","Other","580000.0"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","26562031567913171951568237948697110971232046792083583238112826626149427167656","0xd57cfbeeb938c0912abc111a84b423b8463296bce27ceaaf99304677d412c5e4","0.468911","906751.875274","481565.946687","1.0","Stars vs. Oilers","nhl-dal-edm-2025-11-25","https://polymarket-upload.s3.us-east-2.amazonaws.com/nhl.png","nhl-dal-edm-2025-11-25","Stars","0","Oilers","36862459017243268816759791894751648071518690926492051695950084875180476821219","2025-11-25T00:00:00Z","1764169631.0","closed","","0.0","0.0","0.0","","","","","","","0.0","SPORTS","NBA","481565.946687"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","12502520854540172115841697234430430832879691227208438610016613580542855718173","0x61128a17dcc76c7afa1fb58daccc3f456a4a9e9c5aeb359b140160a9ddc56746","0.388777","682999.721853","417465.13899","1.0","Texas State vs. Southern Miss","cfb-txst-soumis-2025-11-15","https://polymarket-upload.s3.us-east-2.amazonaws.com/espn+college+football+logo.png","cfb-txst-soumis-2025-11-15","Texas State","0","Southern Miss","44614025455547025832031057360722949663859741688861644577692058326229643557547","2025-11-15T00:00:00Z","1763263509.0","closed","","0.0","0.0","0.0","","","","","","","0.0","OTHER","Other","417465.13899"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","58992629418217336791150527105627726520951824426003479091735536985058036672428","0xd08c51ab1dd3c9ea3ddaae80b06cc2aedf67f2609c52148a3465345bb1d6e49e","0.652468","1156423.78396","401894.270487","1.0","Rams vs. Bears","nfl-la-chi-2026-01-18","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-la-chi-2026-01-18","Rams","0","Bears","20026306101924418977974295380454723993386366960783931493943507760420571278713","2026-01-18T00:00:00Z","1768840294.0","closed","","0.0","0.0","0.0","","","","","","","0.0","SPORTS","NBA","401894.270487"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","1621753770240859304694390220728730131191310213603005346325294577856538967052","0xfdfef8a9bbe4173237cd9f3728565a69e74d26746fe8c4258f029668596e07df","0.472861","711419.396901","375016.909462","1.0","Wild vs. Penguins","nhl-min-pit-2025-11-21","https://polymarket-upload.s3.us-east-2.amazonaws.com/nhl.png","nhl-min-pit-2025-11-21","Wild","0","Penguins","23571232197133715841862019771415899747760230365044655567356458282755182586356","2025-11-21T00:00:00Z","1763789093.0","closed","","0.0","0.0","0.0","","","","","","","0.0","SPORTS","NBA","375016.909462"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","92317384069966911877967518473591519618830673023755334200802976572455354007451","0x6420e6b28debd80b59d9bf220e5dddd0808f8f20acde1495f7e1ab3c84cdcdd8","0.38","600000.0","371663.81909","1.0","Will Stade Rennais FC 1901 win on 2026-01-18?","fl1-ren-hac-2026-01-18-ren","https://polymarket-upload.s3.us-east-2.amazonaws.com/league-fl1.png","fl1-ren-hac-2026-01-18","No","1","Yes","861586397072783222068578459136344818294524173595685599330054385937994682182","2026-01-18T00:00:00Z","1768774208.0","closed","","0.0","0.0","0.0","","","","","","","0.0","OTHER","Other","371663.81909"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","98423369423453919468346983446007745060050693134375522442599759011568848268057","0xdee58ccde3e3ed7a0bc2505f8891484f97801c035b8e802a918fcb4667799a76","0.552581","829464.2976079999","354926.424067","1.0","Capitals vs. Blackhawks","nhl-wsh-chi-2026-01-09","https://polymarket-upload.s3.us-east-2.amazonaws.com/nhl.png","nhl-wsh-chi-2026-01-09","Capitals","0","Blackhawks","16426104728898325550461862330548306863451435789274321670859545472889939193128","2026-01-10T00:00:00Z","1768058422.0","closed","","0.0","0.0","0.0","","","","","","","0.0","SPORTS","NBA","354926.424067"
"0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","40223503207979132870903413727110509992871116728538054538701668674539439084312","0x5abf1707811d9cf2fbcb031e967b8de5b81a538a9cc4849deaf3428bee7ebb2e","0.453158","650990.553703","347650.536562","1.0","Flames vs. Sharks","nhl-cal-sj-2025-12-16","https://polymarket-upload.s3.us-east-2.amazonaws.com/nhl.png","nhl-cal-sj-2025-12-16","Sharks","1","Flames","62870451826259739621014995827851044748808187636853854700458073325333574904404","2025-12-17T00:00:00Z","1765981786.0","closed","","0.0","0.0","0.0","","","","","","","0.0","SPORTS","NBA","347650.536562"
