"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp","status","size","initialValue","currentValue","cashPnl","percentPnl","percentRealizedPnl","redeemable","mergeable","eventId","negativeRisk","total_position_pnl"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","68364811915214884527503717303303038510737151847734039655350585557786886681257","0x6fa45c217dd1f7f8c058b008052e949e4e467e2616ebb7deb18a0995a701da41","0.493169","445989.712828","226041.412142","1.0","Celtics vs. Cavaliers","nba-bos-cle-2026-03-08","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-bos-cle-2026-03-08","Celtics","0","Cavaliers","60315173435382158702750036299976636474025940249352465335476236572044136057429","2026-03-08T00:00:00Z","1773048523.0","closed","","0.0","0.0","0.0","","","","","","","226041.412142"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","49199458578674299280518325446666793632087135647583739482099632115201280158865","0xa6e7b22c7450fbccf515ac7da064b6b6d1c76f187a626a6e6be5126e04c64e67","0.57","355554.89834400004","152888.606287","1.0","Will Manchester United FC win on 2026-03-15?","epl-mun-ast-2026-03-15-mun","https://polymarket-upload.s3.us-east-2.amazonaws.com/Repetitive-markets/premier+league.jpg","epl-mun-ast-2026-03-15","Yes","0","No","1568229071759159337157854957391103650766746527032661856923664723583647666958","2026-03-15T00:00:00Z","1773612159.0","closed","","0.0","0.0","0.0","","","","","","","152888.606287"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","99599057309842813858598040082622826829518633131620306098503219698613075462208","0x307daf7bd633fcd1cb2c96adfccef2ea4b27e503c54146276510a8656b47b565","0.78","397499.959986","87449.991196","1.0","Thunder vs. Spurs","nba-okc-sas-2026-02-04","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-okc-sas-2026-02-04","Spurs","1","Thunder","106629990371988270410207463647205935220997568127223451529697531121412639098809","2026-02-05T00:00:00Z","1770292079.0","closed","","0.0","0.0","0.0","","","","","","","87449.991196"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","18673944948283138526094162848829120312362191590817183718710679754012694446161","0xae6808a33f2c020a5603d0cffec249c207a520fdeff12d499f0b1bb914a554ca","0.6091290000000001","177738.283121","69472.740461","1.0","UFC 325: Volkanovski vs. Lopes (Featherweight, Main Card)","ufc-ale14-die4-2026-01-31","https://polymarket-upload.s3.us-east-2.amazonaws.com/ufc-logo-37bbbd28e6.png","ufc-ale14-die4-2026-01-31","Volkanovski","0","Lopes","37722454800862048206344420119983461735847668681388953987454708688518372895106","2026-02-01T00:00:00Z","1769949350.0","closed","","0.0","0.0","0.0","","","","","","","69472.740461"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","58992629418217336791150527105627726520951824426003479091735536985058036672428","0xd08c51ab1dd3c9ea3ddaae80b06cc2aedf67f2609c52148a3465345bb1d6e49e","0.64","156249.549829","56249.837938","1.0","Rams vs. Bears","nfl-la-chi-2026-01-18","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-la-chi-2026-01-18","Rams","0","Bears","20026306101924418977974295380454723993386366960783931493943507760420571278713","2026-01-18T00:00:00Z","1768849142.0","closed","","0.0","0.0","0.0","","","","","","","56249.837938"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","44862617337231173824249151831035817803693364643494333619405379684668637497711","0xf975fc38b59252e2991b49ddd20c716d8399ff752875fa1ff008994175b5ae84","0.69","150000.0","46500.0","1.0","Will FC Barcelona win on 2026-03-03?","cdr-fcb-atm-2026-03-03-fcb","https://polymarket-upload.s3.us-east-2.amazonaws.com/copa-del-ray-c8d5e1b076.png","cdr-fcb-atm-2026-03-03","Yes","0","No","73908669717853178870427392700647913963998645144439390020574423187460349365112","2026-03-03T00:00:00Z","1772652701.0","closed","","0.0","0.0","0.0","","","","","","","46500.0"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","41349680531974605378889002267737576313936582629366573425251579421806064332820","0x76e43ca24f3e9d4566bd8353b4dd74c52a6c9e7ab39b768b8cbeaa3feebefb16","0.56","99999.99999999999","44000.0","1.0","Spread: Buccaneers (-3.5)","nfl-car-tb-2026-01-04-spread-home-3pt5","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-car-tb-2026-01-04","Panthers","1","Buccaneers","20263264150582166854439293181334613554295960592535209412659530883959653588141","2026-01-04T00:00:00Z","1767529379.0","closed","","0.0","0.0","0.0","","","","","","","44000.0"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","100280221677614073970031845639470593625091634838451858024140327157791586052991","0x7b281363227e98a8177e1e5e81dc3bd1e48e8594383258ebb807a62f57770742","0.71","141000.0","40889.99999999999","1.0","Will FC Barcelona win on 2026-01-21?","ucl-slp-fcb1-2026-01-21-fcb1","https://polymarket-upload.s3.us-east-2.amazonaws.com/champions-league-pic-QIUFsL8vaDdq.png","ucl-slp-fcb1-2026-01-21","Yes","0","No","9164768256417427469546270859589447548245226965875033789810135047059062396560","2026-01-21T00:00:00Z","1769088232.0","closed","","0.0","0.0","0.0","","","","","","","40889.99999999999"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","22122465653874781019676289016043243344051283701706410535159713745280277370361","0xb737312b350df08fa9d1cdb2a5cb8ddb1349141cafec251c9cc7d1cdd1754e46","0.19999999999999998","49999.9","39999.91999999999","1.0","Knicks vs. Kings","nba-nyk-sac-2026-01-14","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-nyk-sac-2026-01-14","Kings","1","Knicks","74025664866690183289624530260158969658417941024888174507686435380993145622274","2026-01-15T00:00:00Z","1768506350.0","closed","","0.0","0.0","0.0","","","","","","","39999.91999999999"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","110116403739505343471114780639048437022626559362588530385706963613662526629888","0xb3f76d44e2c96f8edfb3f79df624e66bef793b22f08d49fc226562bca1a925aa","0.433061","64999.902284","36850.9796","1.0","Cavaliers vs. Suns","nba-cle-phx-2026-01-30","https://polymarket-upload.s3.us-east-2.amazonaws.com/super+cool+basketball+in+red+and+blue+wow.png","nba-cle-phx-2026-01-30","Suns","1","Cavaliers","88736458521247574387152947472706546697817406137062652637225575559648384114740","2026-01-31T00:00:00Z","1769862002.0","closed","","0.0","0.0","0.0","","","","","","","36850.9796"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","18898625662860722295741654342399214834125581147648770057786619007292234341698","0x6fe48420bd2c25a2594d158487b08fbc12edd080ff8c3823566bc49fdc2e5b5c","0.36","55555.00000000001","35555.2","1.0","Ravens vs. Steelers","nfl-bal-pit-2026-01-04","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-bal-pit-2026-01-04","Steelers","1","Ravens","77834831581587926934025403057448077020251583959061530049128478531169875186926","2026-01-04T00:00:00Z","1767642079.0","closed","","0.0","0.0","0.0","","","","","","","35555.2"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","58858799465005258410985688048653459084062219365546748920923204823234728771125","0x7261b06fc5515452b81b4831e158fd45730cfb56b650518af48a0393a99bbfae","0.25","40000.0","30000.0","1.0","Rams vs. Falcons","nfl-la-atl-2025-12-29","https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png","nfl-la-atl-2025-12-29","Falcons","1","Rams","26866600765305490078342430550218784410180356858805681175079156575407694444255","2025-12-30T00:00:00Z","1767088413.0","closed","","0.0","0.0","0.0","","","","","","","30000.0"
"0x6c743aafd813475986dcd930f380a1f50901bd4e","88357475382505075647043817092295694093462861520153469923039139070662218851781","0x4a24b9e9494be21a0df504d49306255d6ca11b3e25e6aacba66eb00e3d5785ba","0.23","38888.0","29943.76","1.0","UFC 323: Dvalishvili vs. Yan (Bantamweight, Main Card)","ufc-mer-pet-2025-12-06","https://polymarket-upload.s3.us-east-2.amazonaws.com/ufc-logo-37bbbd28e6.png","ufc-mer-pet-2025-12-06","Yan","1","Dvalishvili","79761102707167849139903719303497187106868978462484620857403822669760382458192","2025-12-07T00:00:00Z","1765109717.0","closed","","0.0","0.0","0.0","","","","","","","29943.76"
